True_Class,Pred_Class,True_Risk_pips,Pred_Risk_pips
1,1,0.069178276,0.12313783
1,1,0.09598544,0.11559151
1,1,0.09598724,0.10971248
0,1,0.09598305,0.10615396
1,1,0.09599082,0.10875492
0,1,0.09595434,0.11679676
0,1,0.09035957,0.11610213
1,1,0.09037872,0.11837001
0,1,0.10967304,0.11928933
0,1,0.14960262,0.12412839
0,1,0.14961007,0.11866538
0,1,0.14956252,0.11368483
0,1,0.14956066,0.123591825
0,1,0.1465069,0.14104533
0,1,0.15024282,0.14083368
0,1,0.14963153,0.1371794
0,1,0.14961848,0.12992418
0,1,0.13903524,0.1328317
0,1,0.1384178,0.13345824
0,0,0.13030738,0.14466019
0,1,0.095432945,0.119870186
1,1,0.09544663,0.12615855
0,1,0.0879502,0.12891638
0,1,0.077972956,0.13176295
1,1,0.07111888,0.13100548
2,1,0.060547046,0.133964
1,1,0.04305799,0.1281591
1,1,0.04306068,0.1250084
1,1,0.04306068,0.12128435
2,1,0.05366983,0.11751318
2,1,0.12105178,0.11708372
2,1,0.129781,0.121735126
2,1,0.13228174,0.117943905
2,1,0.13228504,0.11355849
1,1,0.13229907,0.11275674
1,1,0.13605273,0.108091995
1,1,0.13603234,0.10505965
0,2,0.15100367,0.1514301
1,2,0.15102817,0.15825501
2,2,0.15100557,0.15488684
1,2,0.15101969,0.16889404
1,2,0.1509707,0.14922215
0,1,0.15086906,0.13895172
0,0,0.15085778,0.19146982
2,0,0.16649207,0.1917845
2,0,0.17582144,0.19677761
2,1,0.18467106,0.19173568
2,1,0.21844691,0.17939639
2,1,0.2346041,0.18543291
2,1,0.29150334,0.18561165
2,1,0.29139784,0.19549981
2,1,0.2912888,0.20931794
2,1,0.2914615,0.20037602
2,1,0.26271287,0.19840872
2,1,0.21019803,0.20981023
2,2,0.19954853,0.20029399
1,1,0.17451246,0.1961773
1,1,0.17451137,0.1908529
1,2,0.16893472,0.19764
1,1,0.1732519,0.1962017
0,1,0.17316018,0.19876443
0,0,0.16995369,0.22403947
0,0,0.14445648,0.22684637
0,0,0.13637808,0.21505526
0,1,0.11896753,0.19109072
0,1,0.118985325,0.18002279
0,1,0.1227269,0.1724975
0,0,0.12207503,0.20616414
1,1,0.072286755,0.18957011
1,1,0.07230478,0.18240683
1,1,0.07852424,0.18751708
2,1,0.07854284,0.17701717
1,1,0.07854823,0.16929744
2,1,0.07855998,0.15557277
1,1,0.08724807,0.18157104
2,1,0.10472379,0.18047316
2,1,0.12716539,0.18104567
2,1,0.15025406,0.16801856
2,1,0.15213962,0.15500776
2,1,0.15146887,0.1337983
2,1,0.15458262,0.13097078
2,1,0.15330255,0.13538113
2,1,0.15330255,0.13704921
2,1,0.16824527,0.13640252
2,1,0.15955424,0.12967443
2,2,0.19566667,0.14264427
2,2,0.32652044,0.14130333
2,2,0.30775556,0.13626067
2,1,0.275899,0.13672769
2,1,0.26465404,0.14199604
2,1,0.23721173,0.14572866
2,1,0.23528972,0.10775831
2,1,0.34800905,0.120771185
2,1,0.3355224,0.11614938
2,1,0.32554433,0.117032364
2,1,0.32554027,0.11970827
2,1,0.30056754,0.12625177
2,2,0.24442731,0.16977067
2,1,0.18832743,0.16625483
2,1,0.18826073,0.16675197
2,1,0.18825488,0.15804857
2,1,0.1777601,0.15793528
1,1,0.14103496,0.17658734
0,2,0.20498805,0.16087179
0,0,0.21220489,0.19335401
0,0,0.2264858,0.2140812
0,1,0.19924647,0.20179167
0,1,0.19930214,0.17975152
0,1,0.19930585,0.17316434
0,0,0.19926254,0.1837917
0,0,0.19928604,0.17910348
0,1,0.22536924,0.1761934
0,1,0.22041339,0.17568521
0,1,0.18449382,0.1511523
0,1,0.1844709,0.15034655
0,1,0.17656751,0.15313184
0,1,0.17656201,0.1622294
0,1,0.17660813,0.16420574
0,1,0.17653568,0.17416622
0,1,0.17653018,0.17806424
0,1,0.18649873,0.17263612
0,0,0.20195869,0.21544026
0,1,0.14676799,0.20870054
1,1,0.14678077,0.2035845
2,1,0.14683191,0.19432582
1,1,0.14678442,0.2096665
1,1,0.13686529,0.2013891
1,1,0.13688573,0.19261853
2,0,0.15114102,0.21760364
2,1,0.16986908,0.20310074
2,1,0.18170278,0.19597644
1,0,0.18165644,0.20272166
2,1,0.18174802,0.17772089
2,1,0.14749905,0.18202832
1,1,0.14745133,0.18270779
1,1,0.14741647,0.18684806
1,1,0.14738898,0.19326597
0,1,0.19030443,0.18413627
0,1,0.2277054,0.17435876
0,2,0.24136859,0.1775693
0,1,0.27107853,0.19231823
0,1,0.271205,0.18880078
0,1,0.2611242,0.20457514
0,1,0.30973232,0.20239416
0,1,0.3177268,0.20310383
0,0,0.34202278,0.26047286
0,0,0.33219904,0.24806221
0,0,0.32216334,0.2610358
0,0,0.32099134,0.26650518
0,1,0.21542734,0.23664545
0,1,0.20985378,0.22659878
0,0,0.18064709,0.24693748
1,0,0.18071914,0.22324914
1,0,0.15889336,0.22797838
1,0,0.16948836,0.23462653
2,1,0.16955386,0.21692234
2,1,0.16959932,0.19813384
2,1,0.16462445,0.18721129
2,1,0.16465937,0.18356147
2,1,0.17770517,0.2006682
2,1,0.17767082,0.21128306
2,1,0.1777473,0.18897012
2,1,0.14157063,0.18570365
0,1,0.13902396,0.16147721
0,1,0.17204086,0.15729396
0,1,0.19624946,0.16867794
0,1,0.22865047,0.16788891
0,1,0.2753671,0.16975959
0,1,0.27542374,0.16215952
0,1,0.27544948,0.17140216
0,1,0.27539283,0.18468179
0,0,0.27341804,0.2123512
0,1,0.22185938,0.19838606
0,1,0.22188704,0.18186428
0,1,0.20132388,0.16965108
0,0,0.1503056,0.22841556
0,0,0.14037058,0.20804319
0,0,0.14037234,0.20474327
0,1,0.30210915,0.19185689
0,1,0.34280148,0.18401714
0,1,0.34275654,0.18479584
0,1,0.34251276,0.16364384
0,1,0.34242943,0.18937059
0,1,0.34114155,0.20515504
0,1,0.38309395,0.18758687
0,1,0.37366503,0.19721958
0,1,0.35191494,0.18450445
0,0,0.34264958,0.25188965
0,0,0.33578828,0.25732613
0,0,0.31646162,0.25198746
1,1,0.22381574,0.23121302
0,1,0.22383954,0.21732534
0,1,0.21058024,0.23436153
0,1,0.16881858,0.20850903
0,1,0.1619742,0.20156161
1,2,0.16206948,0.20674664
2,2,0.15339248,0.22181284
1,2,0.15205461,0.22238797
0,1,0.1650939,0.22626369
0,1,0.19019733,0.19490647
0,1,0.19018306,0.19884284
0,1,0.1976161,0.21301264
0,1,0.25382298,0.22574735
0,1,0.2915142,0.20730677
0,1,0.29154518,0.1940062
0,1,0.29166746,0.2147525
0,1,0.32796735,0.21211946
0,0,0.348528,0.21987496
0,1,0.35046437,0.21480946
0,1,0.3504863,0.19982353
0,1,0.35061577,0.17185573
0,0,0.318569,0.23652706
0,0,0.2673847,0.23453097
0,0,0.2510958,0.23790145
0,1,0.1761071,0.22035718
1,1,0.17617334,0.20963466
2,1,0.21062133,0.20720822
2,1,0.35734212,0.2131049
2,1,0.35748333,0.19563787
2,1,0.5955556,0.19432811
2,1,0.64901674,0.22106695
2,1,0.6489476,0.22483397
2,1,0.6493058,0.21312961
2,2,0.649033,0.21575002
2,2,0.6451451,0.23340541
2,2,0.6097982,0.23128162
